"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2890","RT @PLOSEcology: Alligators run protection racket w/ birds? New #research from @UF in @PLOSONE says YES. https://t.co/lfFWgORpq9 by @AFishI…",FALSE,0,NA,2016-03-03 06:04:28,FALSE,NA,"705272611731849216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanramalin",9,TRUE,FALSE,NA,NA
"2891","@PLOSONE lol. ""We are going to have the work reviewed, possibly by some peers..."" Brilliant. https://t.co/hpwKKG96wJ",FALSE,0,"JoeWaggle",2016-03-03 06:03:58,FALSE,"705272255018868737","705272485521055745","1853348606","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoeWaggle",0,FALSE,FALSE,NA,NA
"2892","@PLOSONE although I am loving the feed full of ""these chucklefucks rejected MY paper?!"" tweets from butthurt colleagues.",FALSE,0,"JoeWaggle",2016-03-03 06:03:03,FALSE,"705271912872677377","705272255018868737","1853348606","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoeWaggle",0,FALSE,FALSE,NA,NA
"2893","RT @thermalecology: .@plosone Several references to “the Creator’s invention”,  “proper design by the Creator”.  2 of 3",FALSE,0,NA,2016-03-03 06:02:33,FALSE,NA,"705272130275946496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","millerlp",1,TRUE,FALSE,NA,NA
"2894","So @PLOSONE is offering peer reviewed evidence of the existence of a divine creator? I swear, academia has jumped the fucking shark.",FALSE,0,NA,2016-03-03 06:01:42,FALSE,NA,"705271912872677377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoeWaggle",0,FALSE,FALSE,NA,NA
"2895","@c_althaus @PLOSONE @NPRougier @PLOS #omg (literally) but not the first time for insurgent creationism https://t.co/YZVQIDagm2",FALSE,0,"c_althaus",2016-03-03 06:01:08,FALSE,"705093423250980864","705271774389387264","320239495","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nicolamlow",1,FALSE,FALSE,NA,NA
"2896","RT @CoE_Palaeo: Evaluating the Potential of Q-Band ESR Spectroscopy for Dose Reconstruction of #Fossil Tooth Enamel. via @PLOSONE 
https://…",FALSE,0,NA,2016-03-03 06:00:48,FALSE,NA,"705271689098235904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ESI_FossilLab",1,TRUE,FALSE,NA,NA
"2897","Uh oh. Article suggesting Intelligent Design published by @PLOSONE https://t.co/wjip75I8VE",FALSE,0,NA,2016-03-03 05:59:19,FALSE,NA,"705271313879982080",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","kevinschawinski",0,FALSE,FALSE,NA,NA
"2898","RT @TrikBek: Renzhi Han @PLOSONE editor of The Creator paper, member of Chinese Evangelical Church in Iowa City(CECIIC). contributes to acc…",FALSE,0,NA,2016-03-03 05:55:50,FALSE,NA,"705270436892962816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tommyhigham",2,TRUE,FALSE,NA,NA
"2899","RT @CT_Bergstrom: Everyone is shocked that the creationist #HandOfGod paper got into  @PLOSOne. It happens more often then you think: https…",FALSE,0,NA,2016-03-03 05:40:31,FALSE,NA,"705266584185643008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gerrygcarter",15,TRUE,FALSE,NA,NA
"2900","RT @PLOSNeuro: Our Faces in the Dog's Brain: fMRI Reveals Temporal Cortex Activation during Perception of Human Faces https://t.co/ECohngS2…",FALSE,0,NA,2016-03-03 05:31:47,FALSE,NA,"705264385841893376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mercuryjohn",8,TRUE,FALSE,NA,NA
"2901","RT @PLOSNeuro: Propagation of Electrophysiological Synchronous Activity &amp; Modulation by Serotonin in Mice Cingulate Cortex https://t.co/kfu…",FALSE,0,NA,2016-03-03 05:31:16,FALSE,NA,"705264256695013376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mercuryjohn",5,TRUE,FALSE,NA,NA
"2902","#In #PLoSOne Coccidioides Endospores and Spherules Draw Strong Chemotactic, Adhesive, and Phagocytic Responses by… https://t.co/F5DjVVHppV",FALSE,0,NA,2016-03-03 05:30:06,FALSE,NA,"705263961843699712",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Immunol_papers",0,FALSE,FALSE,NA,NA
"2903","Invoking the Creator in the discussion,wither parsimony @PLOSONE ?!? https://t.co/jMunpHqo7B",FALSE,0,NA,2016-03-03 05:26:59,FALSE,NA,"705263177697603584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adamthomasford",0,FALSE,FALSE,NA,NA
"2904","@schneiderleonid @Neuro_Skeptic @PLOSONE wounderful comment, I also missed it was you who had written it",FALSE,2,"schneiderleonid",2016-03-03 05:22:10,FALSE,"705095128592023552","705261967964053504","2496089581","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","k24jj",0,FALSE,FALSE,NA,NA
"2905","@rhskraus @PLOSONE @PLOS is this what we get with open access?",FALSE,0,"rhskraus",2016-03-03 05:21:13,FALSE,"705068442345480197","705261725713563648","2882277423","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kessler_lab",0,FALSE,FALSE,NA,NA
"2906","Shaping the Growth Behaviour of Biofilms Initiated from Bacterial Aggregates #PLoSOne https://t.co/vah2E5XeZK",FALSE,0,NA,2016-03-03 05:10:05,FALSE,NA,"705258925436837888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BiofilmJena",0,FALSE,FALSE,NA,NA
"2907","A creationist argument in a scientific pub? I think there's an issue beyond ""language"" here... @PLOSONE  https://t.co/RId0D1quBP",FALSE,1,NA,2016-03-03 04:58:12,FALSE,NA,"705255932628865024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shannonbeston",0,FALSE,FALSE,NA,NA
"2908","Creationist conclusion on a @PLOSONE paper. Really ???? https://t.co/4kjrZb3K2g",FALSE,0,NA,2016-03-03 04:47:23,FALSE,NA,"705253211305746436",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gabrielstrajano",0,FALSE,FALSE,NA,NA
