"","source","hour","mean"
"382","#HandOfGod","2016-03-16 08:00:00",0
"383","#HandOfGod","2016-03-16 09:00:00",0
"384","#HandOfGod","2016-03-16 10:00:00",0
"385","#HandOfGod","2016-03-16 11:00:00",-0.5
"386","#HandOfGod","2016-03-16 12:00:00",-1
"387","#HandOfGod","2016-03-16 13:00:00",0
"388","#HandOfGod","2016-03-16 17:00:00",0
"389","#HandOfGod","2016-03-16 18:00:00",-1
"390","#HandOfGod","2016-03-16 19:00:00",-1
"391","#HandOfGod","2016-03-16 20:00:00",0.75
"392","#HandOfGod","2016-03-16 21:00:00",0.5
"393","#HandOfGod","2016-03-16 22:00:00",1
"394","#HandOfGod","2016-03-16 23:00:00",1
"395","#HandOfGod","2016-03-17 04:00:00",0
"396","#HandOfGod","2016-03-17 05:00:00",-0.5
"397","#HandOfGod","2016-03-17 10:00:00",0
"398","#HandOfGod","2016-03-17 12:00:00",-0.5
"399","#HandOfGod","2016-03-17 14:00:00",2
"400","#HandOfGod","2016-03-17 16:00:00",0
"401","#HandOfGod","2016-03-17 17:00:00",0.25
"402","#HandOfGod","2016-03-17 18:00:00",0
"403","#HandOfGod","2016-03-17 19:00:00",2
"404","#HandOfGod","2016-03-17 21:00:00",0
"405","#HandOfGod","2016-03-17 22:00:00",0
"406","#HandOfGod","2016-03-17 23:00:00",1
"407","#HandOfGod","2016-03-18 01:00:00",0
"408","#HandOfGod","2016-03-18 02:00:00",0
"409","#HandOfGod","2016-03-18 03:00:00",0
"410","#HandOfGod","2016-03-18 06:00:00",1
"411","#HandOfGod","2016-03-18 11:00:00",0
"412","#HandOfGod","2016-03-18 13:00:00",0
"413","#HandOfGod","2016-03-18 20:00:00",1
"414","#HandOfGod","2016-03-18 21:00:00",0.333333333333333
"415","#HandOfGod","2016-03-18 23:00:00",-1
"416","#HandOfGod","2016-03-19 01:00:00",0
"417","#HandOfGod","2016-03-19 02:00:00",1.57142857142857
"418","#HandOfGod","2016-03-19 03:00:00",0.833333333333333
"419","#HandOfGod","2016-03-19 04:00:00",0
"420","#HandOfGod",NA,-0.5
"421","#PLOSONE","2016-02-24 17:00:00",1
"422","#PLOSONE","2016-02-24 18:00:00",0.111111111111111
"423","#PLOSONE","2016-02-24 19:00:00",0.121212121212121
"424","#PLOSONE","2016-02-24 20:00:00",-0.0882352941176471
"425","#PLOSONE","2016-02-24 21:00:00",0.04
"426","#PLOSONE","2016-02-24 22:00:00",-0.0857142857142857
"427","#PLOSONE","2016-02-24 23:00:00",0.0714285714285714
"428","#PLOSONE","2016-02-25 00:00:00",-0.142857142857143
"429","#PLOSONE","2016-02-25 01:00:00",-0.333333333333333
"430","#PLOSONE","2016-02-25 02:00:00",0
"431","#PLOSONE","2016-02-25 03:00:00",0.166666666666667
"432","#PLOSONE","2016-02-25 04:00:00",0
"433","#PLOSONE","2016-02-25 05:00:00",0
"434","#PLOSONE","2016-02-25 06:00:00",0
"435","#PLOSONE","2016-02-25 07:00:00",-0.666666666666667
"436","#PLOSONE","2016-02-25 08:00:00",-0.153846153846154
"437","#PLOSONE","2016-02-25 09:00:00",-0.153846153846154
"438","#PLOSONE","2016-02-25 10:00:00",-0.333333333333333
"439","#PLOSONE","2016-02-25 11:00:00",0.0714285714285714
"440","#PLOSONE","2016-02-25 12:00:00",-0.583333333333333
"441","#PLOSONE","2016-02-25 13:00:00",-0.571428571428571
"442","#PLOSONE","2016-02-25 14:00:00",0.533333333333333
"443","#PLOSONE","2016-02-25 15:00:00",0.1
"444","#PLOSONE","2016-02-25 16:00:00",0.1
"445","#PLOSONE","2016-02-25 17:00:00",0
"446","#PLOSONE","2016-02-25 18:00:00",0.416666666666667
"447","#PLOSONE","2016-02-25 19:00:00",0.580645161290323
"448","#PLOSONE","2016-02-25 20:00:00",0.619047619047619
"449","#PLOSONE","2016-02-25 21:00:00",0.7
"450","#PLOSONE","2016-02-25 22:00:00",0.444444444444444
"451","#PLOSONE","2016-02-25 23:00:00",0.666666666666667
"452","#PLOSONE","2016-02-26 00:00:00",1.47058823529412
"453","#PLOSONE","2016-02-26 01:00:00",0.833333333333333
"454","#PLOSONE","2016-02-26 02:00:00",0.2
"455","#PLOSONE","2016-02-26 03:00:00",0
"456","#PLOSONE","2016-02-26 04:00:00",0.5
"457","#PLOSONE","2016-02-26 05:00:00",1
"458","#PLOSONE","2016-02-26 06:00:00",0.714285714285714
"459","#PLOSONE","2016-02-26 07:00:00",0.833333333333333
"460","#PLOSONE","2016-02-26 08:00:00",1.27272727272727
"461","#PLOSONE","2016-02-26 09:00:00",0.8
"462","#PLOSONE","2016-02-26 10:00:00",0.777777777777778
"463","#PLOSONE","2016-02-26 11:00:00",0.25
"464","#PLOSONE","2016-02-26 12:00:00",0.25
"465","#PLOSONE","2016-02-26 13:00:00",0.5
"466","#PLOSONE","2016-02-26 14:00:00",0
"467","#PLOSONE","2016-02-26 15:00:00",0.272727272727273
"468","#PLOSONE","2016-02-26 16:00:00",0
"469","#PLOSONE","2016-02-26 17:00:00",0
"470","#PLOSONE","2016-02-26 18:00:00",0.947368421052632
"471","#PLOSONE","2016-02-26 19:00:00",0.65
"472","#PLOSONE","2016-02-26 20:00:00",0.666666666666667
"473","#PLOSONE","2016-02-26 21:00:00",0.733333333333333
"474","#PLOSONE","2016-02-26 22:00:00",0.0833333333333333
"475","#PLOSONE","2016-02-26 23:00:00",0.185185185185185
"476","#PLOSONE","2016-02-27 00:00:00",0
"477","#PLOSONE","2016-02-27 01:00:00",-0.333333333333333
"478","#PLOSONE","2016-02-27 02:00:00",0
"479","#PLOSONE","2016-02-27 03:00:00",0
"480","#PLOSONE","2016-02-27 04:00:00",0
"481","#PLOSONE","2016-02-27 05:00:00",0
"482","#PLOSONE","2016-02-27 06:00:00",0.4
